# Every inline gate step (a `run:` containing `exit 1` or `::error::`) and what
# FALSIFIES it — a `*-falsifier` job, a check-gates-can-fail.sh probe, or a
# `--self-test` mode — or `UNCOVERED: <reason>`.
#
# WHY: scripts/check-gates-can-fail.sh covers scripts/check-*.sh only. Every
# required gate the 2026-09-05 inventory found green-by-construction (the proof
# count ratchet, the llvm-cov thresholds) was an INLINE step, outside that
# domain. This file puts them in one. The domain is derived by ci-spec (I8):
# an unlisted gate is red, a stale entry is red, and UNCOVERED only shrinks.
#
# Regenerate with `cargo xtask ci-spec inline-gates > ci/inline-gates.txt`
# (annotations are carried forward).
#
# UNCOVERED_CEILING = 72

a2a-tck.yml::tck::Start the target on :9999 | UNCOVERED: no falsifier yet
action-smoke-test.yml::dry-run::Dry-run: safe_pr_fixer profile | UNCOVERED: no falsifier yet
action-smoke-test.yml::dry-run::Dry-run: all profiles | UNCOVERED: no falsifier yet
action-smoke-test.yml::dry-run::Dry-run: lattice invariants | UNCOVERED: no falsifier yet
action-smoke-test.yml::dry-run::Dry-run: entrypoint script validation | UNCOVERED: no falsifier yet
aeneas-certchain.yml::aeneas-certchain::Aeneas Lean 4 translation (scoped slice) | UNCOVERED: no falsifier yet
aeneas-certchain.yml::aeneas-certchain::Canonicalize generated-certchain from the fresh extraction | UNCOVERED: no falsifier yet
aeneas-certchain.yml::aeneas-certchain::Assert clean axiom set (no sorryAx / opaque axioms) | UNCOVERED: no falsifier yet
aeneas-decide-pure.yml::aeneas-decide-pure::Aeneas Lean 4 translation (scoped slice) | UNCOVERED: no falsifier yet
aeneas-decide-pure.yml::aeneas-decide-pure::Canonicalize generated-decide from the fresh extraction | UNCOVERED: no falsifier yet
aeneas-ifc-scoped.yml::aeneas-ifc-scoped::Aeneas Lean 4 translation (scoped slice) | UNCOVERED: no falsifier yet
aeneas-ifc-scoped.yml::aeneas-ifc-scoped::Canonicalize generated-ifc from the fresh extraction | UNCOVERED: no falsifier yet
aeneas-ifc-scoped.yml::aeneas-ifc-scoped::Canonicalize generated-mediation from the fresh extraction | UNCOVERED: no falsifier yet
aeneas-ifc-scoped.yml::aeneas-ifc-scoped::Canonicalize generated-egress from the fresh extraction | UNCOVERED: no falsifier yet
aeneas-ifc-scoped.yml::aeneas-ifc-scoped::Canonicalize generated-credential from the fresh extraction | UNCOVERED: no falsifier yet
aeneas-ifc-scoped.yml::aeneas-ifc-scoped::Canonicalize generated-cap-quantale from the fresh extraction | UNCOVERED: no falsifier yet
aeneas-ifc-scoped.yml::aeneas-ifc-scoped::Canonicalize generated-identity from the fresh extraction | UNCOVERED: no falsifier yet
aeneas-ifc-scoped.yml::aeneas-ifc-scoped::Canonicalize generated-channel from the fresh extraction | UNCOVERED: no falsifier yet
aeneas-ifc-scoped.yml::aeneas-ifc-scoped::Canonicalize generated-declass from the fresh extraction | UNCOVERED: no falsifier yet
aeneas-ifc-scoped.yml::aeneas-ifc-scoped::Assert clean axiom set (no sorryAx / opaque axioms) | UNCOVERED: no falsifier yet
aeneas-ifc-scoped.yml::aeneas-ifc-scoped::Reject sorry (proof holes) | UNCOVERED: no falsifier yet
aeneas-oidc-spiffe.yml::aeneas-oidc-spiffe::Aeneas Lean 4 translation (scoped slice) | UNCOVERED: no falsifier yet
aeneas-oidc-spiffe.yml::aeneas-oidc-spiffe::Canonicalize generated/ from the fresh extraction | UNCOVERED: no falsifier yet
